post_id,user_id,post_date,content_type,likes,shares,comments
319,4538,2024-08-27,text,16,5,13
320,9861,2024-03-16,image,16,4,5
321,4969,2025-06-07,video,17,5,5
322,4763,2024-11-08,image,29,5,5
323,1052,2024-09-17,text,12,5,9
324,2842,2023-12-25,image,25,3,20
325,6619,2025-02-11,text,22,3,12
326,4724,2023-08-18,image,15,4,7
327,7473,2025-02-27,image,24,4,12
328,7914,2024-09-08,text,17,3,18
329,5525,2025-05-28,text,17,4,11
330,3585,2023-11-02,video,20,1,12
331,8540,2025-03-11,image,22,6,11
332,1264,2023-11-24,image,12,6,9
333,4666,2025-03-07,video,18,8,6
334,8015,2024-06-17,video,29,4,9
335,1352,2024-11-17,text,14,6,7
336,6981,2024-08-09,image,22,3,13
337,7191,2023-09-17,image,14,7,10
338,3828,2024-02-02,video,24,3,9
339,8862,2024-05-30,image,19,2,6
340,2647,2024-09-21,image,21,4,9
341,267,2024-03-31,video,16,1,9
342,9631,2024-01-15,video,12,10,11
343,7435,2024-10-08,image,22,4,9
344,1023,2024-03-06,text,16,4,6
345,7948,2024-01-11,image,23,7,10
346,2038,2025-04-07,image,17,2,9
347,8757,2025-02-25,image,24,8,17
348,7779,2024-05-27,text,20,6,10
349,1060,2024-10-05,video,16,4,9
350,1425,2024-08-09,image,21,12,12
351,4124,2025-01-21,text,18,1,8
352,220,2023-10-28,video,13,6,13
353,406,2024-01-09,image,16,5,10
354,9830,2025-02-26,image,20,6,8
355,2319,2023-11-17,text,16,4,5
356,9952,2023-08-07,video,15,5,8
357,9867,2024-06-09,image,19,1,6
358,8984,2023-11-12,text,24,5,13
359,5059,2024-11-07,image,19,2,12
360,1310,2024-02-23,video,14,6,7
361,7622,2025-03-28,video,13,4,15
362,4930,2024-08-05,video,27,6,9
363,9523,2024-05-21,video,21,13,7
364,8703,2023-09-19,image,16,2,11
365,8684,2025-05-02,text,23,4,9
366,1618,2024-12-13,text,20,9,8
367,1521,2023-09-09,image,26,3,9
368,7893,2024-03-25,video,24,7,10
369,1584,2024-06-04,image,23,8,13
370,6705,2025-03-17,video,17,4,8
371,7989,2025-05-25,video,20,3,9
372,6584,2024-12-07,video,23,6,9
373,1576,2025-04-10,video,23,6,10
374,6936,2025-03-08,image,28,6,18
375,9954,2025-03-02,image,26,2,5
376,6177,2025-02-08,image,18,4,7
377,9239,2023-11-05,video,22,5,8
378,2614,2023-12-31,image,12,5,10
379,3893,2023-08-14,image,21,5,9
380,8654,2025-03-31,image,21,4,14
381,6734,2024-12-25,image,19,3,7
382,4432,2024-05-01,image,18,6,12
383,8113,2024-07-26,text,20,3,11
384,1382,2024-09-06,video,22,5,8
385,9338,2023-07-27,image,20,3,11
386,3516,2023-08-24,image,21,1,8
387,4455,2024-12-13,video,15,3,8
388,7770,2024-09-24,text,18,4,4
389,6490,2024-02-07,image,27,5,11
390,8385,2024-04-29,image,16,6,16
391,3535,2024-07-20,video,19,7,13
392,756,2023-08-03,text,21,7,14
393,9877,2023-09-08,image,27,5,14
394,2526,2024-02-05,image,18,3,13
395,828,2025-01-01,image,23,6,16
396,9082,2023-09-03,image,23,9,8
397,4749,2025-04-24,image,21,4,10
398,2334,2023-10-29,text,25,5,14
399,4947,2024-09-13,text,22,4,8
400,8303,2025-05-24,image,11,1,6
401,8047,2023-07-05,text,16,4,10
402,8985,2024-01-19,image,18,5,7
403,7182,2024-02-19,video,26,6,11
404,3415,2024-06-08,text,14,4,7
405,9502,2023-09-24,image,14,4,11
406,6458,2025-05-23,image,13,1,13
407,6750,2025-05-06,image,23,4,9
408,297,2023-11-05,image,17,6,10
409,9822,2023-08-02,text,23,6,12
410,569,2024-09-13,video,30,3,4
411,5284,2023-12-08,image,18,5,10
412,7665,2025-02-12,video,25,5,14
413,7512,2024-05-26,text,23,5,16
414,5466,2023-10-12,video,17,5,10
415,8264,2024-02-11,image,11,1,8
416,4383,2024-09-03,text,14,5,15
417,66,2024-06-15,text,24,7,8
418,880,2024-02-28,image,29,6,11
419,8260,2024-07-30,image,25,4,6
420,9409,2024-03-17,video,17,5,7
421,7223,2024-05-12,text,24,5,9
422,5070,2023-11-26,text,13,6,10
423,3240,2023-12-18,text,19,6,15
424,508,2025-03-30,image,16,1,4
425,7705,2024-06-17,text,23,2,10
426,1126,2024-08-30,video,16,7,7
427,886,2024-11-18,text,15,6,4
428,2842,2024-09-08,video,17,7,11
429,7976,2024-05-30,text,26,0,6
430,6566,2024-12-31,image,29,11,7
431,6084,2023-08-28,video,18,8,7
432,4871,2024-07-11,image,21,6,6
433,2526,2025-06-23,image,19,5,5
434,9118,2023-12-23,video,12,1,8
435,4216,2025-03-19,video,23,6,9
436,1939,2025-03-18,image,13,9,14
437,3233,2023-10-13,image,22,4,9
438,3745,2025-03-15,image,24,3,5
439,6222,2024-06-20,image,14,2,13
440,3466,2024-06-25,image,13,4,8
441,441,2024-05-16,video,20,4,8
442,462,2023-07-24,image,14,4,7
443,8804,2025-01-01,text,12,1,9
444,5414,2024-05-23,image,15,6,10
445,5756,2025-02-12,image,23,3,11
446,5013,2023-11-28,video,19,6,11
447,3164,2024-10-21,text,22,3,13
448,6753,2025-05-15,image,16,8,9
449,6,2024-11-20,text,19,9,8
450,4777,2024-12-19,video,15,1,8
451,7039,2024-03-18,video,23,4,6
452,6415,2024-11-13,text,16,5,5
453,5740,2023-08-25,image,18,8,17
454,3971,2025-01-03,video,27,1,9
455,2607,2024-01-07,text,14,1,8
456,99,2024-05-16,text,23,5,13
457,526,2024-09-09,video,22,6,11
458,6338,2024-09-18,text,18,7,8
459,1181,2025-05-02,video,18,5,7
460,8068,2024-09-29,video,28,3,7
461,9882,2023-08-12,image,19,6,14
462,9331,2024-05-31,image,19,7,14
463,4492,2024-04-09,image,20,5,8
464,5923,2025-02-24,image,14,6,11
465,3072,2024-07-07,text,23,7,10
466,5642,2024-02-16,text,13,9,7
467,7382,2023-08-31,image,19,5,11
468,2793,2024-12-28,image,19,1,11
469,4779,2024-05-20,video,29,5,13
470,15,2024-10-08,text,17,4,16
471,2416,2024-09-03,image,24,8,9
472,2686,2024-01-15,image,25,7,9
473,9429,2024-11-16,text,33,8,10
474,8160,2023-12-22,video,28,5,9
475,7927,2025-05-24,video,26,6,16
476,4101,2024-05-22,video,27,7,13
477,6375,2024-05-14,video,19,5,11
478,6005,2025-06-27,text,19,7,5
479,5522,2025-01-05,text,27,11,13
480,9800,2024-01-10,image,17,5,4
481,7156,2024-12-10,image,15,6,4
482,3298,2024-01-12,image,28,6,6
483,2634,2024-07-08,image,15,4,9
484,3891,2025-01-30,image,27,9,9
485,792,2025-04-13,text,28,6,8
486,9192,2025-04-11,video,18,8,7
487,152,2024-04-18,image,19,7,11
488,3064,2024-05-23,text,19,6,14
489,6368,2025-03-02,text,24,2,16
490,7905,2023-09-09,text,12,6,7
491,2092,2025-06-07,text,20,3,12
492,4600,2025-05-03,image,21,6,9
493,7409,2024-08-01,video,16,4,5
494,2978,2024-02-01,image,25,7,11
495,843,2024-04-04,video,25,6,7
496,3794,2023-12-23,image,17,5,10
497,1660,2024-03-27,text,17,7,12
498,8790,2024-07-13,text,18,6,9
499,5163,2024-06-20,video,17,7,8
500,6447,2024-07-13,video,34,2,12
501,4271,2025-01-09,text,16,3,7
502,3604,2024-07-24,image,25,3,9
503,6765,2025-05-25,video,21,9,6
504,1217,2024-08-15,image,24,10,10
505,2292,2024-04-11,text,22,9,16
506,3812,2024-09-14,text,15,8,12
507,4994,2023-10-20,image,18,6,10
508,5143,2024-12-20,video,18,5,8
509,6863,2024-10-20,image,20,5,10
510,9124,2024-02-04,image,16,5,6
511,6534,2024-03-24,image,20,3,9
512,7527,2024-07-31,image,30,5,7
513,2979,2024-01-02,image,15,7,11
514,5348,2024-05-21,image,20,7,12
515,7934,2023-08-31,video,17,7,9
516,4596,2024-08-24,video,25,1,8
517,6212,2024-12-15,text,28,5,4
518,9956,2025-06-25,video,11,6,13
519,2171,2025-03-21,video,26,3,10
520,8528,2024-08-06,text,30,3,16
521,9369,2025-06-12,text,13,7,10
522,3022,2024-12-28,image,21,1,11
523,8971,2023-12-01,video,21,3,11
524,7837,2024-06-10,image,18,8,11
525,1186,2024-02-16,video,25,6,18
526,3286,2024-03-03,text,13,2,7
527,3448,2024-08-28,image,25,5,12
528,3992,2025-05-15,image,18,7,14
529,9131,2024-09-16,image,23,4,7
530,4900,2025-06-06,text,21,8,9
531,1936,2023-11-11,image,26,4,9
532,8826,2023-11-29,image,16,4,6
533,9446,2025-02-13,image,21,4,15
534,9275,2024-10-28,image,15,7,10
535,1286,2025-05-23,image,21,6,6
536,8546,2024-04-23,text,25,8,7
537,7480,2023-08-03,image,19,7,10
538,5256,2024-02-09,text,19,7,15
539,1886,2023-10-14,text,17,2,11
540,5063,2024-01-29,video,12,6,8
541,7067,2024-01-28,image,15,4,16
542,3023,2024-03-12,video,21,8,10
543,5266,2023-07-08,image,23,6,13
544,1548,2023-11-23,text,20,8,6
545,4205,2024-04-02,image,24,7,9
546,7591,2025-04-11,image,19,6,9
547,1369,2025-04-23,image,21,5,7
548,1758,2024-05-02,text,18,4,12
549,9710,2024-07-24,text,19,8,11
550,4918,2024-11-13,video,10,2,8
551,3485,2023-08-22,text,22,5,12
552,3053,2023-11-02,text,20,7,11
553,8383,2023-10-06,image,20,7,9
554,933,2024-07-11,video,20,4,9
555,4238,2025-03-26,video,19,5,5
556,7241,2024-08-09,video,20,8,8
557,3239,2023-11-16,image,20,2,12
558,566,2024-10-26,text,21,5,11
559,5379,2024-03-19,image,16,3,12
560,5559,2025-03-09,video,17,3,12
561,9327,2024-10-03,image,25,5,11
562,744,2024-09-08,image,17,2,11
563,8865,2024-09-01,video,21,5,13
564,8723,2025-06-13,image,19,4,11
565,5410,2023-08-29,image,25,1,9
566,8754,2025-06-13,image,32,3,11
567,5630,2024-05-09,image,21,6,4
568,6319,2025-02-13,video,21,5,4
569,302,2023-09-27,text,16,1,7
570,3768,2025-01-16,image,28,1,13
571,4281,2023-07-07,video,22,6,8
572,7507,2024-01-02,text,22,2,10
573,8702,2024-06-09,video,15,6,5
574,6963,2025-01-14,image,15,2,12
575,5430,2024-05-19,text,18,4,7
576,7249,2023-12-13,text,20,3,6
577,3446,2025-02-17,image,25,3,5
578,2204,2023-11-07,image,16,3,7
579,2835,2024-10-04,text,19,7,9
580,8987,2024-02-16,video,16,7,8
581,2480,2023-07-06,image,30,5,11
582,9716,2023-12-25,video,22,4,9
583,4857,2025-04-12,video,21,2,11
584,435,2025-03-11,image,26,7,15
585,1707,2024-08-02,video,26,6,10
586,8261,2025-04-01,video,16,5,7
587,5726,2025-01-19,video,13,6,4
588,1905,2023-07-29,video,22,4,12
589,7019,2024-02-26,image,19,6,7
590,3960,2023-12-18,image,23,5,7
591,6826,2024-07-20,image,21,4,7
592,6348,2024-01-19,image,20,1,15
593,6157,2023-09-12,video,18,4,6
594,2714,2024-11-01,text,17,6,12
595,6195,2023-11-03,text,18,6,9
596,6513,2024-06-08,image,27,3,9
597,6868,2024-10-21,video,18,9,6
598,3728,2025-05-27,image,12,4,9
599,3547,2025-04-03,image,21,4,8
600,2304,2024-09-03,image,21,3,12
601,3682,2025-07-02,text,21,3,6
602,7853,2023-07-12,video,16,2,10
603,3222,2024-08-06,image,11,8,6
604,4375,2025-01-22,video,16,3,8
605,1083,2024-04-21,image,21,5,5
606,8638,2024-03-08,image,18,5,5
607,1593,2024-03-08,text,19,4,11
608,5609,2025-05-01,video,16,6,13
609,5527,2023-10-06,video,20,4,5
610,5180,2023-07-16,image,24,6,8
611,6473,2024-08-15,image,18,4,9
612,2776,2024-05-20,video,17,7,19
613,1591,2025-02-27,image,19,7,5
614,6005,2025-04-27,image,23,0,17
615,7231,2023-09-21,video,19,2,11
616,2232,2024-10-24,image,26,5,14
617,5119,2025-04-06,image,14,5,15
618,6455,2024-10-08,video,24,10,11
619,7961,2024-06-28,text,13,3,12
620,1562,2025-06-16,image,11,3,8
621,3647,2023-07-07,text,16,6,6
622,7597,2025-05-08,video,23,3,11
623,7241,2024-07-24,video,17,3,9
624,4943,2025-04-23,video,17,5,10
625,3239,2025-01-18,video,26,9,9
626,1601,2025-02-03,video,25,2,9
627,5701,2024-07-29,text,23,8,13
628,6072,2023-12-12,image,18,7,13
629,710,2024-11-01,video,21,2,6
630,2972,2025-03-10,image,26,8,15
631,794,2023-12-12,image,19,7,12
632,3100,2024-12-12,text,21,4,10
633,6031,2023-09-05,image,22,7,7
634,5766,2024-01-03,text,13,6,11
635,27,2023-10-12,video,24,6,17
636,6694,2024-10-30,text,21,9,9
637,5323,2024-02-26,text,17,6,10
638,8277,2023-07-30,text,20,5,10
639,5952,2023-11-11,video,18,8,7
640,3102,2024-12-11,text,22,6,10
641,6610,2024-07-04,image,19,6,13
642,9315,2025-03-12,image,23,4,6
643,5310,2024-04-15,video,22,5,10
644,12,2024-10-03,video,32,4,12
645,7771,2024-02-15,image,14,2,11
646,9941,2023-11-23,text,19,6,4
647,5414,2024-04-08,image,23,7,9
648,5775,2025-06-04,image,20,3,15
649,180,2023-08-07,image,13,5,13
650,797,2023-08-25,image,17,6,9
651,7280,2025-05-24,image,22,3,6
652,7189,2025-07-04,image,22,5,18
653,7313,2024-05-13,image,18,4,18
654,2025,2024-04-20,text,17,4,7
655,7667,2024-06-17,image,20,4,11
656,3218,2024-04-13,image,21,6,12
657,6585,2024-04-13,image,19,3,12
658,9079,2024-03-09,video,19,9,11
659,5286,2024-07-07,text,19,3,11
660,7371,2024-02-24,text,13,7,12
661,1520,2024-08-13,image,19,12,18
662,6612,2024-04-23,image,18,5,11
663,6857,2023-12-16,image,20,7,7
664,2433,2024-11-08,video,14,6,7
665,6458,2023-10-28,image,16,3,8
666,4867,2024-09-08,image,19,2,11
667,5055,2023-08-29,image,17,5,12
668,9109,2023-07-13,text,24,6,8
669,2071,2024-12-18,text,13,5,4
670,1782,2025-06-08,image,20,8,7
671,8531,2024-12-03,image,20,5,10
672,1517,2024-07-23,text,19,3,10
673,5492,2024-12-06,video,19,3,6
674,9107,2025-02-05,text,25,4,15
675,5950,2025-02-10,video,14,3,6
676,3291,2023-07-07,video,17,4,5
677,4571,2025-03-05,image,20,3,6
678,9639,2024-03-25,text,30,6,7
679,1380,2024-05-06,text,23,3,7
680,9676,2023-08-20,image,29,5,10
681,7671,2025-05-11,video,15,9,13
682,801,2025-05-25,image,21,5,11
683,9439,2024-03-23,image,18,6,7
684,5268,2024-03-05,text,16,5,14
685,3496,2024-07-10,image,21,4,8
686,3258,2023-12-15,text,25,6,13
687,6559,2024-08-14,text,20,2,8
688,982,2025-01-11,image,17,7,8
689,2089,2024-11-01,text,19,9,14
690,2953,2025-02-16,image,19,7,10
691,9204,2025-04-15,image,15,1,13
692,2127,2024-02-10,image,26,3,9
693,4813,2023-10-02,video,19,7,10
694,8064,2023-08-13,image,18,4,13
695,3862,2024-09-21,text,31,7,4
696,5904,2024-05-14,text,24,3,9
697,2592,2023-07-10,video,17,4,12
698,9666,2025-02-28,video,20,5,11
699,9358,2023-07-27,video,16,3,9
700,3323,2025-02-03,video,28,5,7
701,6438,2024-06-04,image,25,5,10
